GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
ATP11A	-0.5329398169310053	5.493916139946769	-5.422245773462347	3.7401589552039063e-6	0.00224318620632849	4.306250199903925	T3d	-1	-0.6303108137306401	0.9938761505056257	0
PSEN1	-0.5444374593051968	6.513460967972216	-5.421862408633659	3.7446381333952695e-6	0.00224318620632849	4.30515364748827	T3d	-1	-0.5444374593051968	0.8537171792875733	0
VPS8	0.5740249784877953	7.9749834058783104	5.4188004790433455	3.7806056220120098e-6	0.002251047971023006	4.296395628195359	T3d	1	0.5740249784877953	0.9957711483020018	0
SPSB3	-0.5001755197047046	7.245583825167238	-5.417607262436498	3.794714971119705e-6	0.00225264338966312	4.2929827405869005	T3d	-1	-0.5001755197047046	0.9807596281499337	0
MCF2L	-0.9325842053275508	7.821908136329658	-5.414994159367043	3.825797479020695e-6	0.00225458427786934	4.285508759309026	T3d	-1	-0.737996236973993	0.9949055953533159	0
DGCR2	0.553187008483647	8.052885197530737	5.414449863834058	3.8323036526873256e-6	0.00225458427786934	4.283951990229774	T3d	1	0.553187008483647	0.9678487192371074	0
PDK1	-0.6815863067796109	9.579994470479855	-5.411057539401957	3.873102594262498e-6	0.0022660962763570687	4.274249589593984	T3d	-1	-0.6387459758628891	0.9999012119892331	0
MTHFD1	-0.8835409011836957	6.441028381701106	-5.410911572029836	3.874867798158816e-6	0.0022660962763570687	4.273832114340538	T3d	-1	-0.6743250124706632	0.9974756569209973	0
KANK1	-0.6753617139224248	6.55297419587774	-5.40286698524876	3.973401582093691e-6	0.002310011437773903	4.250824981634823	T3d	-1	-0.6753617139224248	0.9984773875637039	0
IFT27	0.5097251021369189	8.57664824028492	5.40086442859238	3.998315374775551e-6	0.0023124116637321243	4.245098031390574	T3d	1	0.5680604357938108	0.9910940572647022	0
MYH9	0.6246838031477999	6.616622703287652	5.400109134185402	4.007752348887954e-6	0.0023124116637321243	4.242938053793008	T3d	1	0.5900253355137913	0.9974587558578314	0
PUF60	-0.8892212277003457	7.501372194055518	-5.399711494596767	4.012729541699918e-6	0.0023124116637321243	4.241800897303895	T3d	-1	-0.7174789480691015	0.9415975207665388	1
CKMT1A	-0.5095390190728057	12.460129321305963	-5.394301788521405	4.081056857937854e-6	0.00234493005769628	4.226330826933621	T3d	-1	-0.5095390190728057	0.999994085103777	0
GORASP2	-0.6299737338109237	7.792718856559482	-5.391193925303836	4.120833608169023e-6	0.0023540590458909676	4.217443673107811	T3d	-1	-0.5973635105981878	0.9997148810866144	0
ANKRD17	0.6936842252596431	10.468270906774036	5.389086589781263	4.1480243232798505e-6	0.0023627434269632547	4.211417752344589	T3d	1	0.6936842252596431	0.9845076323578112	0
MFSD12	-0.6591631974029655	7.429543371448427	-5.380982020300121	4.254272212517429e-6	0.0024038114762766623	4.18824393388053	T3d	-1	-0.5900009437471918	0.9994676057459311	0
FREM1	0.9259769964975764	7.148249034249149	5.3732252163607415	4.358498351800366e-6	0.0024403133214949526	4.166066293497694	T3d	1	0.9259769964975764	0.9992130542234063	0
STARD10	-0.5261659086363002	7.905757359512039	-5.363091375211317	4.498504418657962e-6	0.002492468455701531	4.137095150847578	T3d	-1	-0.5261659086363002	0.9950268112925577	0
RER1	-0.7083731328406913	9.650046634164276	-5.362825562699108	4.502236458716817e-6	0.002492468455701531	4.1363352751284115	T3d	-1	-0.7083731328406913	0.9140264362154655	0
AKAP6	-0.5741885265479709	8.832262059719389	-5.354498077013453	4.6207296510918766e-6	0.0025366904806568007	4.112530700962385	T3d	-1	-0.5741885265479709	0.9976165760958816	0
ADCK1	-0.6053482391515201	4.846787023578148	-5.3434001257629635	4.7834841044013945e-6	0.002597102427635935	4.080810087776886	T3d	-1	-0.6053482391515201	0.9745866269112896	0
DST	0.5593660508195741	7.739603279879428	5.338948556453633	4.850360099688576e-6	0.0026118261472323043	4.068087584741761	T3d	1	0.633087087546626	0.9996330461418148	0
ARV1	-0.5602088289620353	7.151414721077123	-5.331232050936482	4.968497691554025e-6	0.0026447568711529456	4.046035560297314	T3d	-1	-0.7206139509016438	0.9912076126334188	0
FYCO1	-0.7348439254491899	6.854122159690404	-5.331066357063049	4.971065584654231e-6	0.0026447568711529456	4.045562067404859	T3d	-1	-0.6794586288507292	0.9902493884818867	0
